name,id
Uruguay,242
Algeria,4
Netherlands,160
Czech Republic,60
Morocco,154
Spain,214
Guyana,97
Slovakia,207
Greece,88
Israel,111
Bosnia and Herzegovina,28
Mali,140
Equatorial Guinea,69
Scotland,201
Korea (South),121
Mexico,147
Austria,15
Venezuela (Bolivarian Republic),246
Mauritania,144
Japan,114
Paraguay,178
Ukraine,238
Gambia,83
Central African Republic,43
Russia,188
Jamaica,113
Portugal,183
Côte d'Ivoire,55
South Africa,211
Wales,249
Serbia,203
Gibraltar,87
Togo,228
Grenada,90
Bulgaria,35
Denmark,61
Colombia,49
Iceland,104
Guinea,95
Albania,3
Ghana,86
Guadeloupe,91
Canada,40
Senegal,202
China,46
Chile,45
Croatia,56
Trinidad and Tobago,231
Peru,179
Honduras,101
England,68
Turkey,233
Finland,77
Australia,14
Ireland,109
Poland,182
Brazil,31
"Macedonia, Republic of",135
Ecuador,65
Nigeria,166
Dominican Republic,64
Georgia,84
Sweden,220
Cameroon,39
Romania,187
Latvia,126
Norway,171
Argentina,11
Costa Rica,54
Belgium,22
Martinique,143
Cape Verde,41
Northern Ireland,169
Italy,112
France,78
"Congo, (Kinshasa)",52
Angola,7
Guinea-Bissau,96
Montenegro,152
United States of America,241
Slovenia,208
Panama,176
Germany,85
