name,id,country
San Mamés Barria,345,Spain
Estadio de la Cerámica,361,Spain
St. Andrews Stadium,4500,England
Loftus Road,4844,England
Spotify Camp Nou,342,Spain
St. Mary''s Stadium,4591,England
University of Bolton Stadium,4843,England
St. James'' Park,4674,England
The Valley,31,England
Estadi Mallorca Son Moix,4454,Spain
Estadi Municipal de Montilivi,343,Spain
Estadio Alfredo Di Stéfano,5341,Spain
Estadio Santiago Bernabéu,353,Spain
Ewood Park ,22,England
Estadio Ciudad de Valencia,350,Spain
Estadio Nuevo Los Cármenes,4667,Spain
White Hart Lane,99148,England
Estadio El Alcoraz,624,Spain
Villa Park,211,England
Estadio Municipal de Butarque,355,Spain
Reale Arena,5043,Spain
Old Trafford,2,England
RCDE Stadium,351,Spain
Coliseum Alfonso Pérez,354,Spain
Etihad Stadium,4715,England
	Estádio Cívitas Metropolitano,4654,Spain
Estadio Nuevo Mirandilla,4662,Spain
Anfield ,6,England
Estadio de Mendizorroza,348,Spain
Abanca-Balaídos,653,Spain
Stamford Bridge,10,England
Molineux Stadium,217,England
Estadio de Mestalla,344,Spain
Elland Road ,213,England
Estadio El Sadar,4650,Spain
Estadio Benito Villamarín,352,Spain
Highbury Stadium,1000243,England
Estadio Municipal José Zorrilla,622,Spain
Estadio Ramón Sánchez Pizjuán,349,Spain
Riverside Stadium ,214,England
Estadio Municipal de Ipurúa,347,Spain
